id,verb,object,detail
650,split,merge file,removable and hard drive
651,search,your computer file,specified file
651,search,your computer,the number
651,return,file directory,a specification
651,match,this feature,a list
652,search,multiple file,the source
652,search,folder,specified file
652,replace,the one source file,NA
653,print,document graphic,any printer
653,instal,computer,NA
654,view,edit,picture
655,create,view,decompress zip gzip archive
656,transfer,file,remote server
656,transfer,use,ftp client
657,move,multiple file,different location
657,move,use,multi copy move utility
658,view,drive s information,chart grid
659,view,folder information,chart grid
660,manage,your system startup program,use
660,build,startup manager,NA
661,search,cooky,unwanted cookie file
662,connect,directory,the network use
662,share,network drive,NA
663,use,standard keyboard shortcut,a ctrl
663,use,cut ctrl,paste
664,use,drag drop method,the mouse
664,drag,file,browser
664,drag,drop file,another window application
665,use,automatic context menu processing,a selected file
665,select,group,file
665,display,a standard,alike window explorer
666,scrub,file delete file,any trace
666,scrub,your computer clean file,NA
667,use,favorite run menu,a list
667,build,your shortcut,easy access
668,use,file filter,different content
668,show,browser,the selected file filter
668,display,the browser,NA
669,view,edit text file,NA
670,toolbar,sortable browser column display,file icon
670,associate,that file,the window system
673,view,editing,selected text file
674,browse,your photo,NA
676,multi,language support english french german polish slovak,NA
677,free,commercial or non commercial use,NA
678,comma,separated value browser,NA
679,direct,access,network neighbourhood
680,multi,language support file shredder,our ml technology
680,choose,the language list,the program
680,prefer,you language,the fly
680,change,no additional plug,a everything
680,be,the same installation,NA
681,integration,window explorer,your file
681,wipe,folder,the file
681,click,right mouse button,shredder
681,destroy,the explorer,menu
682,set,file shredder,your desktop
682,act,window recycle bin,drop item
682,drag,the icon,NA
683,drop,target window,drag drop
683,use,a little drop target window,other window
684,choose,eleven different window background,the product appearance
685,show,the top section,the window
685,use,the program,the most convenient way
686,click,product support,our support service
686,connect,the web,NA
687,base,folder user,defined rule
688,use,virtual folder,regular folder
689,work,file folder,url
690,manage,multi file project,network drive
693,search,your file,NA
694,access,your file,different path
695,combine,virtual folder,filter file
696,compare,two file,a time
696,merge,difference,compared file
697,folder,compare comparison,local network directory
697,merge,difference,compared directory
698,allow,a single line comparison,replacement
699,advanced,editing option,easy file merging
700,give,a quick overview,differenes
700,give,file,directory
701,window,explorer cotext menu integration,easy file selection
701,explorer,file,window explorer
702,modify,file date,set date
702,set,time,NA
703,modify,file date,plus or minus year month day hour minute
704,modify,file date,copy
704,modify,other property,NA
705,modify,file date,copy property
705,modify,other file,the same name
706,exeone,system navigator,the file manager
706,manage,your file,an intuitive dual panel interface
706,use,an impressive set,option
707,system,info tool,a comperhensive sheet
707,offer,information,your computer
707,run,your system,this tool
707,turn,a computer expert,no time
708,exeone,system navigator s size manager,a set
708,provide,detailed information,the space consumption
708,regard,your hard disk,statistical chart
708,generate,table,a format
708,export,later use,NA
709,fast,management,three window
710,use,easy and intuitive keyboard shortcut,operation
711,find,feature,directory
712,uncomplicat,zip file,the program
713,appear,a different color,color
713,customize,the way,NA
714,build,file,find
714,find,function,your hard drive
714,search,matching file name,text
715,work,a a launch pad,your software
716,execute,program,paramaters
716,execute,work,the do command line
717,make,folder,panel view
718,diskshop,panel system,NA
719,treeview,panel,one a a third command source
719,combine,file folder,panelviews
720,total,information,security
720,manage,your drive,NA
721,optimize,respect,size
722,resize,move program,monitor
722,move,save,position
723,access,your folder,folder history
723,save,your history,autoload
724,access,your file,recent file list
724,access,file history file,NA
725,shortcut,all vital command,NA
726,picture,box,each panel
726,view,your digital photo ect,enable disable possibility
727,make,file edit file,prompt
728,sort,your file,folder
728,sort,panel view,NA
729,rename,file,command
729,rename,indexing,ucase
731,start,your program,dbl click
731,start,associated file,panelviews
732,explore,all important file folder detail,NA
733,programmable,disk cleanup search function,file open possibility
734,store,your common used folder location,NA
735,enjoy,the build,favorite option
735,enjoy,a file,internet
736,memory,function,selected view memory store memory recall
736,select,undo recall,NA
738,network,attach,drive menu
739,browse,your disk,history function
740,build,command line function,advanced program start
741,view,your disk,ram
741,view,condition,NA
742,compare,synchronize folder,preview window
743,advanced,view filtering date interval user pattern,file
743,filter,attribute,NA
744,filter,function,a view
745,trace,fast recall,previous selection
746,color,change,item
746,color,each panel,which mode
746,use,copy move,NA
747,will,sure experience,increased productivity
748,use,interface,simple creation
748,use,maintenance,synchronization task
750,uni,directional synchronization replication mirroring,data
750,uni,source folder,folder
751,support,one source folder,multiple target folder
753,utilize,blazingly fast execution,NA
754,file,copy,target file
754,be,the matching source file,file transfer requirement
755,include,the ability,the source file
755,create,time stamp,a safe copy option
755,ensure,the target file,the copy operation
756,load,window startup,the system tray
757,interval,option,manual every few minute
757,include,selected day,month
758,ignore,the fat ntfs time stamp issue,second difference
758,ignore,daylight,time difference
759,log,optionally only error,NA
760,log,size limit,user
761,schedule,synchronization,NA
762,compare,an html formatted report,NA
763,batch,execution,multiple synchronization task
763,batch,a user,NA
764,password,protection,administrator
765,batch,file,rename multiple file photo web page music
765,batch,once preview change,NA
766,batch,folder renaming,folder name
766,process,mass,NA
767,rename,file extension file extension,bulk
767,allow,association,multiple file
768,convert,file case upcase lowcase file name,extension
769,insert,string  string,existing file name
769,start,any character position,NA
770,delete,string  part,file name
770,start,a specific character position,how many character
770,delete,that position,NA
771,string,replacement search,a certain string
771,str,filename,another string
772,add,a sequence,number
772,add,your filename,NA
773,rename,file tag,rename
773,rename,multiple file,their tag information tag
774,filelist,renaming,a list
774,use,filename,NA
775,use,window explorer style interface intuitive r interface,no technical knowledge
776,drag,support,NA
777,keyword,any item file folder email contact calendar item note etc and search  tag,fuzzy non exact way
779,targeted,granular indexing option,NA
780,easy,way,document
780,file,work,home
781,gather,digital folder,binder
781,correspond,the one,a traditional archive
782,save,the archive,the physical searching
782,go,paper pile,thing
782,be,the past,NA
783,think,intuitive interface,the program
784,enclose,any kind,digital attachment
785,create,many archive,document
785,create,unlimited size,NA
786,administrate,access,backup copy
787,feature,the original norton commander,copy
788,feel,window explorer,NA
789,drag,support,NA
790,multi,threaded file management,shell api
790,use,most operation,NA
791,file,another program,the view
791,reflect,pablo commander,NA
792,context,menu,explorer
793,compare,the content,two folder
794,integrate,ftp client,ftp
794,include,ftp view open file,folder
795,select,folder execute program connect,ftp site
795,ftp,almost every other window shell action,NA
796,import,export catalog database,NA
797,detail,information,every file folder
798,support,comment,every catalog item
799,support,custom property,every catalog item
800,support,thumbnail,every catalog item
801,support,viewing and clearing file,NA
802,find,file,NA
803,start,your favourite application,a mouse
803,start,the same time,a selected file
803,select,the application,NA
804,configure,a you,NA
805,zip,un,a few mouse
806,support,rar cab tar gzip,archive
807,search,file,text string
808,build,viewer,text
809,build,editor,text file
810,reach,your desktop icon,one click
810,reach,the mouse,the desktop
810,clutter,window,NA
811,applet,one click,the mouse
812,use,ftp site,a local disk
812,use,proxy firewall support,NA
813,file,a sheet,NA
814,command, history,NA
815,show,the current date,time
815,show,the title bar,the current application
816,minimize,right clicking,empty space
817,esc,key,your screen saver
818,restart,the machine,NA
820,download,file,ftp
822,select,file,a specified date range
822,specify,file mask,NA
823,add,a time date stamp,NA
824,verify,the integrity,file
825,run,other file utility program,job
826,track,job success warning,error
826,track,the nt event,log
827,create,task job,schedule
827,create,minute,a few click
828,send,email,your pc
828,send,your pager,your cell phone
829,set,complicated multi step job,ease
829,copy,a file,one machine
829,upload,a ftp server,a scheduled job
829,schedule,the nt file,mover
829,automate,the entire process,NA
830,read,wpd wordperfect document,pdf doesn
830,require,adobe acrobat,need
830,instal,chm,hlp
830,instal,txt ansi,m doc m word
831,support,batch conversion registered version,NA
833,support,advanced pdf export option,NA
834,support,multiple chm,hlp
834,support,export option,NA
835,command,line support,multiple language support skin support
836,require,corel wordperfect,your money
837,access,only folder,your computer
837,access,virtual folder,a virtual disk
837,compose,your most frequently used folder,your efficiency
838,create,a virtual disk,even the command line
839,create,a virtual folder,the name
839,delete,all your file,NA
840,be,your computer,a complex local area network
840,use,too many shared folder,t
840,map,a mass,network
840,drive,a virtual folder,any remote folder
841,move,one folder,NA
842,delete,one multiple,all file
842,delete,a folder,NA
843,send,bin,NA
844,view,all program,the machine
844,view,a program,NA
845,view,all file,a folder
845,view,a file,NA
846,run,a window  command,the application
847,explore,your file system,the folder map
847,use,a specific folder,NA
848,web,search,website image video
848,search,news article,a variety
849,append,multiple file,file
849,specify,wildcards,multiple file selection
850,change,the order,joined file
850,add,new file,NA
851,specify,a separator,joined file
851,join,example,multiple text file
851,specify,a simple text delimiter,an application
851,open,such a notepad,microsoft word
852,join,any file type,ascii text file
852,merge,binary file,NA
853,process,multiple large file,time
853,get,the job,NA
854,sort,folder content,name date size type
854,folder,the other several information column,the font
854,change,your need,NA
855,suport,file format,a number
855,print,different file format,ogg vorbis wav avi asf
856,detail,information,the following information
856,follow,your file name size type date,created date accessed file version
856,access,playtime dimension,title artist album
857,save,the directory content,a a plain text file
857,save,a a comma delimited file,microsoft excel
857,use,any other supported spreadsheet software,NA
858,search,your whole computer,music file
859,search,extension wav,wmv
860,use,menu,music file
860,remove,file,your computer
861,play,music file,NA
862,have,your latest work,most current photo
862,have,favorite music,your computer and storage device
863,sync,file,multiple computer usb keychain drive
863,sync,portable hard disk,the simple step configuration wizard file
864,keep,track,all change
864,remove,a file,a name
864,re,your folder autosync,the synced folder
865,create,separate sync plan,work document photo
865,create,music,a usb device
865,use,ipod,work file
865,keep,date,a home and work pc sync music file
866,synchronize,a usb drive,hard drive
868,extended,file folder detail tag checksum,NA
869,instant,preview,text graphic and audio video content
870,find,file,hyperfilters
870,use,e g locate file,their comment
870,search,keywords,NA
871,detect,cleanup duplicate file,NA
872,manage,many folder,dual pane
872,use,tab,NA
875,touch,date,NA
876,execute,text command,script
876,do,file,NA
877,advanced,ntfs support,NA
878,unicode,text encoding,NA
879,export,file information,a text
880,focus,usability,keyboard shortcut history autocompletion
881,filename,the  extractor,the browse button
881,drop,the filename extractor window,NA
882,need,the full path,full path option
883,get,a list,filename
883,add,some sort,text
883,filename,some process,html photo album
883,come,mind,NA
884,click,option,top ctrl t
884,click,the yellow window icon,top state
885,save,the filename,a txt file
885,print,your convenience,NA
886,overwrite,all data,physical drive
887,support,ide ata scsi hard disk drive,NA
888,support,size drive,NA
889,support,hdd floppy zip flashmedia drive,NA
891,support,several erasing method,the most secure gutmann
893,erase,report,NA
895,display,detected drive and partition information,NA
896,support,command line mode,no user interaction
897,preview,any sector,a drive
898,scan,drive and preview file,fat and ntfs file system
899,wipe,drive s free space,previously deleted data
901,clean,the user,NA
902,era,internet activity,temporary internet file cooky history
903,era,cache,internet explorer netscape opera
903,era,aol browser,NA
904,era,recent file list,NA
905,lightweight,installation,window
906,sign,authenticode signature,NA
907,include,registration info,NA
908,use,explorer style r interface,NA
909,integrate,window explorer,context menu
910,complete,interactive help file,NA
911,complete,integration,window explorer
911,complete,the window shell,NA
912,look,pie chart,graph
912,look,look texture,transparency
913,shell,context menu integration pie,file
913,behave,folder,NA
914,print,support,diskview report
914,print,custom header,footer
915,pie,chart,bar
915,pie,chart report option,NA
916,export,chart,png jpg
916,png,bmp,format
917,instant,chart  generation,chart
917,browse,the file system,NA
919,integrate,disk summary,real time disk usage
919,see,all drive,NA
920,report,actual size,disk
921,drive,a network folder,unc path
922,size,disk and relative  column handler,window explorer detail view
923,integrate,diskview folder pane,relative folder size
924,startup,directory tab,directory
924,change,fixed tab,new tab
924,fix,an ordinary one,NA
925,view,size,time size view
925,calculate,subdirectory size,disk size
925,sort,the file,account
925,take,ntfs compression,sparse file
926,make,image file,this process
926,be,so some limitation,picture file size
926,base,default limitation,picture icon setting dialog
927,divide,group,their extension
927,base,each group,file name default group
927,use,file group,dialog
928,win,global hotkey,any time
928,press,surf window,minimizes
928,be,it hot key,general setting dialog
929,edit,startup directory,row
929,drag,mouse,shift space
929,click,row header,then press delete key use
929,press,key,edit cell
930,represent,a current directory,NA
931,drop,selected file,surf
931,select,window explorer,back default mode
931,copy,control key,selected file name
931,drop,directory item,the target directory
931,drop,auto rename file,paste
931,drop,tab name file,shift key
931,open,selected tab,directory
932,copy,file,clipboard full path text
932,paste,text edit field,NA
933,find,file,current directory
933,type,several first character,file name
934,type,example,c first letter
934,be,a drive letter search,c
935,search,current directory,dot
935,enter,a first character,example
936,enter,server name,network server dialog
936,enter,g select share dialog,several share
936,connect,window computer,password protected share
936,protect,this share,connect
936,check,selected share,NA
937,copy,all directory,file
938,copy,local user,group
938,copy,local user local group,their membership
938,copy,these object,security
938,encounter,audit,permission
939,copy,creation time,time
939,copy,file,directory
940,read,archive system,hidden attribute
940,hide,file,directory
941,copy,all file,directory security permission
942,copy,all file and security auditing rule,NA
943,copy,all file,directory ownership
944,copy,any share,directory
944,provide,user,file print
945,copy,permission,NA
946,import,local user,group
946,exist,the target machine,NA
947,get,a list,all machine user
947,define,a local machine,NA
948,identify,file,directory
948,define,rule,a certain object
949,replace,security rule,user group
949,replace,arbitrary sid,NA
950,connect,a domain,all object
951,quit,access,such object
952,direct,the appropriate program,file
953,use,drag,analysis
953,drop,file extension,NA
954,scan,registry,which extension
955,file,manager feature,the association
955,control,extension,software
956,monitor,your system,your file extension association
957,keep,track,NA
959,build,zip unzip zip,zip repair support
959,zip,many other file tool,such a convert
959,create,numbered file append file name,NA
960,email,file,file manager
960,email,text,text editor
961,search,file,text content
962,calendar,clock create  file,print
963,do,prompt,u old timer
964,create,playlist,audio player
965,edit,your s,NA
967,handle,large file,ease
968,view,greenbar mode,NA
969,column,text,the clipboard
970,search,grep,NA
971,transfer,file,your pc
971,transfer,phone,NA
972,click,auto fill,NA
973,back,new photo,video
974,provide,easy file browsing,NA
975,find,file,file size
976,apply,a fast checksum,algorithm to identically sized file
976,find,content,NA
978,preview,file header,case
978,see,if file match,NA
979,fast,your document,NA
980,search,highlight term,pdf document
981,scan,document,bulk
981,file,a later date,NA
982,forget,important document,NA
983,store,pre defined filing area,NA
984,search,any word,any document
985,store,microsoft office document,most type
985,store,image file,NA
986,dedicate,viewer,internet document
987,scan,single sided or double sided page,NA
988,work,most home,NA
989,import,a watch folder,NA
990,copy,support background execution,NA
991,move,support background execution,NA
992,delete,support background execution,deletion
992,recycle,mask,NA
993,view,internal er internal er support,file format ascii
993,follow,bmp wfm emf pcx ico jpg jpeg gif jif dib rle tga html,internet explorer
993,require,later and also binary file,NA
994,find,file,mask date
994,find,changed size,attribute
995,set,change file,NA
996,change,description,file
996,change,folder,NA
997,pack,file,directory
997,pack,alt,zip cab tar rar arj
998,unpack,fpacked file alt,zip cab tar rar arj
999,support,addition,new packer module
999,support,base external packer,NA
1000,customizable,user interface  color theme,NA
1001,customizable,user application user,application menu
1001,customize,his need,NA
1002,multilanguage,support,NA
1003,support,window clipboard file operation,such a copy
1005,support,unc path,the same way
1005,work,local directory,example
1005,view,server sharedir directory,cd server sharedir
1005,execute,direcory,menu
1006,scan,folder,file
1006,scan,group,NA
1007,optimize,detection,algorithm file size
1007,optimize,bytewise comparison,NA
1008,duplicate,detection,content date name size
1009,employ,file filter date attribute size,scan time
1010,pass,a parameter,external program
1011,find,deletes,duplicate file
1012,regain,valuable hard disk space,NA
1013,reduce,time,your hard drive
1014,use,antivirus,your computer
1015,generate,the data list,property
1015,use,size date,creation file extension
1015,use,this feature,example list
1015,contain,artist album,photographer
1015,have,the option,information
1015,shoot,location  date camera model,resolution
1015,shoot,photo list,NA
1016,save,the directory content,the extracted information
1016,extract,export,many format
1017,apply,many property,such a file extension image size
1017,exclude,folder,NA
1019,save,repeated use,example
1019,be,output type page format,appearance
1020,generate,file hash checksum,file checksum
1021,reveal,hidden file,folder
1022,organize,digital magnet,NA
1023,store,file email,various document
1024,file,function copy,delete rename split
1026,file,viewer,syntax highlighting
1027,command,line shell ,command
1028,find,duplicate file,any drive folder
1028,find,neighborhood,computer
1029,search,similar and duplicate file,crc name size
1029,duplicate,their combination,NA
1030,search,a file,result
1030,input,the file name,NA
1031,show,chart,duplicate file type size
1031,show,quantity,NA
1032,find,a specified file,NA
1033,search,local computer,networked computer
1034,check,file similarity,crc name size
1034,name,their combination,NA
1035,compare,two file,crc cyclic redundancy check
1036,move,unnecessary duplicate file,bin delete unnecessary file
1037,rename,selected duplicate file,another folder
1037,move,the folder,NA
1038,log,all the action,duplicate file scan
1038,log,resolution,NA
1039,set,file scan scope,file date size
1039,set,arttribution,NA
1040,skip,file type scan,NA
1041,file,name auto,number increment value and number format
1042,set,date time,certain value
1043,set,created date,modified date
1044,change,attribute,file
1044,change,folder,NA
1045,process,one file folder,a group
1045,process,file folder subfolders,NA
1046,recursive,operation process whole directory tree,certain branch
1047,stamp,certain file,folder
1048,secure,erase,file
1048,secure,folder,NA
1049,secure,erase,whole disk
1049,secure,parititions,NA
1050,manage,file,most window apps
1051,fast,search filter engine,NA
1052,migrate,to sql server or msde support,NA
1053,multi,panel  desktop file manager,NA
1054,have,full control,your file
1054,have,folder,owl commander
1054,use,no learning curve,fully configurable menu toolbars
1054,feel,hotkeys,drag drop right click context menu
1054,drag,clipboard operation,file
1055,need,external zip and ftp program owl commander,zip file
1055,access,ftp site,a local folder
1055,copy,an ftp site,a zip file
1056,download,entire folder,once parallel operation
1056,retry,a connection attempt,NA
1057,have,several copy command,NA
1058,view,content,file text html picture
1058,view,rtf,NA
1060,command,line,arbitrary command
1060,execute,the system shell,NA
1061,clean,your hard drive,duplicate file
1061,waste,space,NA
1062,reuse,current workspace,future session
1063,drop,confirmation,all object
1063,drop,xplorplus,external application
1064,be,place,one time
1066,compare,file list folder content,extensive comparison option
1067,print,folder content,file version information
1067,require,layout option,NA
1068,drag,interaction,all supported application
1069,shortcut,nearly all command,efficient everyday use
1070,enhanced,file selection capability,extension
1070,base,a type,NA
1071,start,folder option,my document
1072,enhanced,search engine,multiple file spec and inclusive exclusive option
1072,find,folder,version
1073,instant,font sizing,your eyesight
1073,suit,selection,NA
1074,change,font and background color,both file list
1075,save,a copy,a feature
1075,make,a file,folder
1076,folder,sign resolution,remote drive folder
1077,refresh,file list,NA
1078,refresh,folder,NA
1079,refresh,all the list,NA
1080,swap,displayed file list content,NA
1081,rename,multiple file window,a custom template
1081,use,a rename preview window,the desired result
1082,image,contact sheet manager window,option
1082,head,orientation image size,direction multi page
1082,head,page usage,NA
1083,new,clear work file dialog,start
1084,window,dialog,a smart positioning strategy
1084,ensure,visibility,NA
1085,view,computer name user,load operating system service pack
1086,synchronise,the computer date,time
1086,synchronise,internet time server,NA
1087,create,an internet web gallery,selected image
1087,select,one or more folder,NA
1088,view,the registry,game
1089,play,multiple selected medium file,a playlist
1091,search,file,name extension date
1091,search,type,NA
1092,save,bookmark,the most frequented folder
1093,advance,folder,copy
1094,deletion,duplicate file,single folder
1095,copy,missing file,folder
1096,file,check,two folder
1098,keep,copy,old file
1100,transfer,any data source,example
1100,transfer,an existing microsoft access database,an existing sql database
1101,template,sql dbf access csv,NA
1102,transfer,high speed rate,any data source
1104,ensure,safety,file
1104,ensure,folder,management
1106,view,the file,ftp
1106,view,the archive,your local computer
1107,browse,your photo and music collection,the random chaos
1107,sort,your downloads folder,NA
1108,handle,dbf rtf html doc excel,other format
1109,include,startup manager,directory size manager
1110,build,file viewer supporting image,NA
1111,think,multithreaded program engine,the handling
1111,allow,any number,concurrent file operation copy
1112,integrate,support,all common type
1112,integrate,compressed file archive zip arj rar ace jar,NA
1113,folder,comparison system,two file
1113,detect,the change difference,NA
1114,support,sftp protocol,support
1115,file,synchronization system,your file
1115,merge,folder,ftp site
1116,find,the folder,too much hd space
1117,file,reconstruction,the copy process
1117,be,a must,a huge file
1117,be,such a a film,NA
1118,advanced,search system,local and network disk
1118,search,regular expression,NA
1119,total,system support,NA
1120,build,text viewer feature configurable syntax color highlighting,common programming language
1121,method,navigator quick search,a necessary function
1121,method,procedure,big huge vast file
1122,html,support system quick type feature,the most commonly used tag internet explorer view code completion
1123,export,html,rtf
1123,rtf,color highlighting,your source
1123,publish,the web,NA
1124,view,edit tag,NA
1125,detail,information,video file
1126,picture,operation,all popular format
1128,side, comparison,two directory
1129,detect,difference,NA
1130,exclude,directory,a comparison
1131,explorer,style tree,embedded directory
1132,portable,no install,the spot
1133,easy,the application,file
1134,easy,intuitive user interface operation,NA
1135,build,embarcadero,c builder
1136,download,file,the host machine
1136,use,their browser,these file
1136,transfer,pre defined shared folder,the administrator
1137,access,important file,your office
1137,access,home machine,the intuitive web interface
1137,move,copy,NA
1138,use,public link,your client
1138,have,other business associate transfer file,your machine
1138,create,a user account,NA
1139,modify,the name,logo
1139,appear,the screen,a more personal touch
1139,give,your client,NA
1140,copy,cut,paste file
1140,paste,the host machine,the remote clipboard operation
1140,move,one folder,any remote location
1141,zip,un file,the host machine
1141,allow,user,file
1141,transfer,the internet,tremendous amount
1141,save,network traffic,time
1142,be,a product,not a service
1142,be,no monthly fee setup fee transfer fee,usage fee
1143,transfer,a any administrative task,ssl a self signed ssl certificate
1143,bundle,the product,NA
1144,create,unlimited user account,user
1144,would,passwor aministrator,multiple shared folder
1144,share,these account,customizable read
1145,restrict,ip address,further security
1146,build,audit trail,logging mechanism administrator
1146,back,any user s activity,the past
1146,use,the audit trail log,question
1146,log,the system,NA
1147,send,email alert,the administrator
1147,send,a security violation,example
1147,occur,an alert,incorrect password
1147,login,time,NA
1148,notification,message,email
1148,upload,file,a specified folder
1148,be,a handy feature,synaman
1148,use,a a central repository,a project
1149,work,any operating system,NA
1150,download,file,a web browser
1150,use,no other software,the client end work
1150,require,all popular browser,internet explorer mozilla firefox apple safari
1150,include,google chrome,NA
1151,instal,synaman,the installer
1151,run,an interactive wizard,the setup process
1151,guide,minute,your client colleague transfer file
1152,run,synaman,no need
1152,configure,any web database,ftp server
1152,configure,installation,NA
1153,use,our free ip discovery service,your machine
1153,locate,the internet,synaman
1153,use,a dynamic ip address,NA
1154,send,the administrator,suspicious activity
1154,observe,the host machine,example
1155,check,new release,bug fix
1155,update,a regular basis,the update
1155,apply,the running instance,any human interaction
1156,expose,synaman,a smooth and user friendly environment
1156,provide,user,file
1156,appear,their local machine,NA
1157,be,a web based solution,a browser
1157,connect,administer and transfer file,NA
1158,use,search,NA
1159,search,file,a certain type size
1159,modify,time,NA
1160,move,file,batch
1161,resume,search process,NA
1163,find,all track reference,itunes
1163,put,the non existent track group,NA
1164,browse,your music library,the duplicate
1165,evaluate,the play count,date
1165,determine,the best track,NA
1166,mark,a tick,NA
1167,go,itunes,the option
1167,check,preference,NA
1168,send,the item,the recycle bin
1168,remove,the computer,NA
1169,multiple,up to four window,copying
1169,move,file,NA
1170,file,an optional preview window,the content
1170,display,the type,graphic word processing document text file pdfs spreadsheet multimedia file
1171,file,filter,particular specification
1172,expand,the folder tree,a specific folder
1172,expand,an entire drive,all folder
1173,display,print listing,folder size number
1174,print,file,the preview window
1175,convert,graphic,different format
1176,extract,zip file,extract
1178,change,file date,time
1179,destroy,file,their content
1180,system,information display,current memory usage
1181,go,a folder,NA
1182,build,command line,any window
1183,do,prompt format diskette copy diskette,NA
1184,define,program,the menu
1185,thumbnail,view,file
1186,base,user defined criterion,NA
1187,split,large file,NA
1188,press,ctrl,a directory fman remembers
1188,navigate,directory hierarchy,NA
1189,tailor,fman,your need
1189,tailor,powerful plugin system,the community
1190,launch,fman,very active development
1190,develop,year,progress
1190,lock,an unmaintained platform,NA
1191,scan,any location,drive
1191,scan,cd dvd,usb network path
1192,search,filename path,file type
1193,create,rename,your entry
1194,add,a many file,NA
1195,define,the new file name,file date number customized text
1196,decide,your own how date,time
1197,substitute,drive letter,any path
1198,restore,virtual drive,system reboot
1199,view,all assembly form,NA
1200,search,assembly,assembly name
1200,base,public key,NA
1201,sort,the searched list,any assembly attribute
1202,select,one or more assembly,application
1202,select,assembly,any installer
1203,click,row,assembly
1203,set,proper path environment variable,ildasm
1204,be,window,any type
1204,include,binary file folder,this freeware file
1204,use,compare tool,a light version
1204,be,business people,web developer traveler
1204,work,multiple site,different pc home user
1204,keep,their photo music file video,anybody
1204,keep,backup,his stuff
1204,protect,any disaster data corruption,accidental deletion people
1204,burn,important data,a floppy cd dvd
1204,take,office home presentation site,the binary compare function
1204,make,the data,the last byte
1204,save,possible frustation,embarrassment
1205,command,line script,command line switch
1205,process,multiple operation script,the main dialog
1206,change,the case,file name
1206,change,number file,variable
1206,use,renames,NA
1207,build,viewer,the actual difference
1207,display,two file,the result
1207,output,a formatted text file,NA
1208,find,duplicate file,your drive
1209,file,ftp plug,NA
1210,overlayed,folder structure,better overview
1212,ignore,folder,file
1212,ignore,name relative path absolute path,pattern
1214,choose,alternative destination,backup path
1215,throughput,limit,all file transfer
1216,window,explorer compatible drag drop,NA
1217,rename,file,folder
1218,define,custom file command,the integration
1218,include,graphical file comparison tool,NA
1219,create,virtual structure,mapping
1219,create,location,a subfolders
1220,define,task,automated execution command line scheduler
1221,embed,content analysis technology,file content
1221,compare,bit,all the duplicate
1221,identify,the selected folder,disk
1222,exclude,subfolders,specific file type define file size range
1222,include,modified date,the flexibility
1222,pin,the search scale,the scanning process
1223,find,duplicate file,all type
1223,find,convenient file type selection guide,file
1223,search,specific type,NA
1224,scan,multiple folder,your computer
1224,drive,a time,any removable storage device
1224,support,ipod psp zune player camera,NA
1225,find,removing,your disk space
1225,clutter,size,time
1225,speed,file indexing,your computer performance
1226,exclude,system file application file,hidden and protected file
1226,avoid,system crash,critical file
1227,write,to sd card usb stick external drive,NA
1228,add,a many folder,the program
1228,replace,file,NA
1229,add,a many file,a source file
1230,define,what file,file size file date
1231,replace,the history function,NA
1232,print,your history file,network
1233,save,replacement project,NA
1234,arrange,your data,type
1234,arrange,a hierarchy,label
1235,search,your data,name rating date
1235,open,type label artist actor duration,NA
1236,rate,your data,comment
1237,fill,information,your data
1237,retrieve,the internet,poster preview
1237,take,the video list,actor director producer writer synopsis comment rating
1238,play,your medium,an integrated or external medium player
1238,play,your tv,internet box
1239,explorer,file,tab
1240,surlignage,the file,their extension
1241,fast,the photograph textual file,NA
1242,filter,the list,the file
1242,find,a file,NA
1244,occupy,your file,NA
1248,control,the file,NA
1250,manage,file directory,drive
1251,use,window explorer,NA
1253,easy,access,NA
1254,clear,all temporary file,NA
1255,launch,file,detection
1255,launch,removable medium,NA
1256,customize,the view font background,tag color
1257,set,the minimum and maximum tag size,NA
1258,customize,filter,file extension
1259,file,folder,column
1260,show,any column,NA
1262,icon,the notification area,NA
1263,move,file,directory
1264,check,the synchronization state,the file
1265,copy,only the newer file,a other directory
1266,open,file,popup
1266,open,menu,external program
1267,rename,file,popup menu
1268,progress,dialog,file
1268,delete,directory,NA
1269,manager,all your movie tv show,concert
1269,manager,import new file,NA
1270,scrape,the movie,the tv
1270,scrape,db imdb,ofdb logo cleararts
1270,scrap,fanart tv,NA
1272,be,open source,developed continuously feature suggestion
1272,make,our community,NA
1273,prevent,file deletion,start
1275,base,folder user,defined rule
1276,use,virtual folder,regular folder
1277,work,file folder,url
1278,manage,multi file project,network drive
1281,search,your file,NA
1282,access,your file,different path
1283,combine,virtual folder,filter file
1284,organize,volume folder,file
1284,organize,category,NA
1285,browse,zip arj rar cab arc ace lzh,tar archive
1286,add,comment,each file folder
1286,add,disk,NA
1287,search,file,folder
1287,use,a filename,your own comment
1287,use,wildcards,the search result
1287,limit,date size,category
1288,search,file,archive
1289,extract,description,tag
1289,include,wav wma,ogg vorbis file
1290,extract,cd information,cddb
1291,extract,description,html adobe acrobat
1291,extract,pdf and microsoft office file,NA
1292,multilanguage,interface,language
1293,load,file content,folder
1293,load,subfolders,NA
1294,display,the length,bit rate
1294,display,file,NA
1295,file,name size type date duration,bit rate
1296,copy,all information selected item,clipboard tab
1297,export,all information,selected item
1297,select,web archive generic xml,xml
1298,support,utf encoding mode,NA
1299,file,viewer express search,many common file type
1299,file,group,file type display print
1299,send,the internet,NA
1300,display,picture video sound music text file document datasnap database file,your computer
