id,verb,object,detail
162,save,paste,NA
163,text,information,clipboard
163,save,text file,ctrl
164,reformat,compact xml file,NA
165,create,junctionssymlinkshardlinks,NA
166,file,system browser,link
167,show,link target,file system browser
168,remove,file permission,all user
168,remove,file folder,NA
169,add,permission,user group
169,add,file folder,NA
170,remove,meta data,NA
171,export,data,text file
172,show,data,a column
172,show,the file system browser,NA
173,strip,exif information,picture
174,adjust,exif date information,picture
174,change,the time,minute
175,adjust,picture file date,the date
175,adjust,the exif date information,NA
176,show,exif data column,the file system browser
177,show,movie information,rating
177,show,genre,more a column
178,get,movie information,imdb
179,look,file content file attribute file size,NA
180,remove,item,group
180,remove,search result,context menu
181,verify,sfv file,NA
182,code,a file,NA
183,rename,all bad file,NA
184,delete,all bad file,NA
185,verify,sfv file,the file system browser
186,file,system plugin,registry ftp zip rar
187,copy,move file operation,plugins
187,copy,auto unpack auto sorting file,NA
188,file,property plugin,file property
188,show,column,exif or meta information
189,create,zip and iso file,NA
190,upload,file,the internet
190,use,ftp,NA
191,use,the keyboard,NA
192,build,viewer,many file format
193,require,self extracting zip,convenience
195,free,non professional home use,NA
196,view,disk space consumption,the help
196,view,disk space usage report,file type file size attribute file date
196,group,file,disk space
196,consume,your computer,NA
197,specify,your own search term,unwanted file
197,look,folder,your disk space
198,become,useless file junk temporary internet file,zero size file etc diskanalyzer
198,find,such file,NA
199,locate,biggest and oldest file,NA
200,see,a list,biggest space
200,file,a old unused ,your hard disk drive
200,delete,these file,big chunk
200,regain,disk space,NA
201,fill,file,such a video image audio file compressed file
201,duplicate,hard disk diskanalyzer,pro
201,locate,these file,not required file
202,perform,a disk search,the command prompt
202,create,a saved disk report archive,diskanalyzer
202,perform,pro,detailed disk space analysis
202,use,any scheduling program,the disk search
203,be,the essential report,disk space management
203,consist,a single list,all folder
203,sort,file size,how many folder
203,consume,the disk space,NA
204,file,level,any disk space report
204,use,file explorer viewer,this tool list
204,use,all the file,a particular disk space report
204,allow,the list,multiple criterias
204,use,such a file name,wild card file size date file type file path
205,export,the disk space report,external file
205,save,a html csv and xml file,comparison
205,be,a period,time
205,maintain,disk space usage history,NA
